FROM_LAT,FROM_LONG,FROM_NAME,TO_LAT,TO_LONG,TO_NAME,SIM_RSSI,MSG_KEY,TIME
8.440000,0.810000,Bob29,7.340000,1.600000,Kevin357,-5.585237,(Bob29,1555460317.878622),1555460317.888724
8.440000,0.810000,Bob29,8.520000,2.410000,Stuart753,-4.204902,(Bob29,1555460317.878622),1555460317.888899
8.520000,2.410000,Stuart753,7.340000,1.600000,Kevin357,-5.128356,(Stuart753,1555460318.563127),1555460318.564853
8.520000,2.410000,Stuart753,7.200000,3.260000,Dave361,-4.369018,(Stuart753,1555460318.563127),1555460318.565054
7.340000,1.600000,Kevin357,8.440000,0.810000,Bob29,-5.585237,(Kevin357,1555460318.887845),1555460318.889033
7.340000,1.600000,Kevin357,7.200000,3.260000,Dave361,-3.888836,(Kevin357,1555460318.887845),1555460318.889242
7.340000,1.600000,Kevin357,8.440000,0.810000,Bob29,-5.585237,(Kevin357,1555460319.565330),1555460319.566426
7.340000,1.600000,Kevin357,8.520000,2.410000,Stuart753,-5.128356,(Kevin357,1555460319.565330),1555460319.566616
7.200000,3.260000,Dave361,8.520000,2.410000,Stuart753,-4.369018,(Dave361,1555460319.564993),1555460319.567351
7.200000,3.260000,Dave361,6.970000,4.950000,Jerry959,-3.700068,(Dave361,1555460319.564993),1555460319.567539
8.520000,2.410000,Stuart753,8.440000,0.810000,Bob29,-4.204902,(Stuart753,1555460319.896117),1555460319.897373
8.520000,2.410000,Stuart753,7.340000,1.600000,Kevin357,-5.128356,(Stuart753,1555460319.896117),1555460319.897568
8.440000,0.810000,Bob29,7.340000,1.600000,Kevin357,-5.585237,(Bob29,1555460320.571240),1555460320.573451
8.520000,2.410000,Stuart753,7.340000,1.600000,Kevin357,-5.128356,(Stuart753,1555460320.570893),1555460320.575455
8.520000,2.410000,Stuart753,7.200000,3.260000,Dave361,-4.369018,(Stuart753,1555460320.570893),1555460320.575675
7.340000,1.600000,Kevin357,7.200000,3.260000,Dave361,-3.888836,(Kevin357,1555460320.581693),1555460320.583066
6.970000,4.950000,Jerry959,7.200000,3.260000,Dave361,-3.700068,(Jerry959,1555460320.580339),1555460320.583787
6.970000,4.950000,Jerry959,6.970000,6.630000,Carl458,-3.821086,(Jerry959,1555460320.580339),1555460320.583976
6.970000,4.950000,Jerry959,5.310000,4.950000,Mark704,-3.917352,(Jerry959,1555460320.580339),1555460320.584201
7.200000,3.260000,Dave361,8.520000,2.410000,Stuart753,-4.369018,(Dave361,1555460320.903567),1555460320.904745
6.970000,6.630000,Carl458,6.970000,4.950000,Jerry959,-3.821086,(Carl458,1555460321.614597),1555460321.620358
6.970000,6.630000,Carl458,5.310000,6.580000,Tim451,-3.913702,(Carl458,1555460321.614597),1555460321.621703
6.970000,6.630000,Carl458,8.290000,7.580000,Phil955,-4.082815,(Carl458,1555460321.614597),1555460321.622176
6.970000,4.950000,Jerry959,7.200000,3.260000,Dave361,-3.700068,(Jerry959,1555460321.917539),1555460321.925767
6.970000,4.950000,Jerry959,5.310000,4.950000,Mark704,-3.917352,(Jerry959,1555460321.917539),1555460321.925950
7.200000,3.260000,Dave361,8.520000,2.410000,Stuart753,-4.369018,(Dave361,1555460322.584759),1555460322.587454
8.440000,0.810000,Bob29,8.520000,2.410000,Stuart753,-4.204902,(Bob29,1555460322.584402),1555460322.588980
5.310000,6.580000,Tim451,5.310000,4.950000,Mark704,-4.064508,(Tim451,1555460322.602608),1555460322.608545
6.970000,6.630000,Carl458,6.970000,4.950000,Jerry959,-3.821086,(Carl458,1555460322.931488),1555460322.932667
8.520000,2.410000,Stuart753,8.440000,0.810000,Bob29,-4.204902,(Stuart753,1555460323.593098),1555460323.594591
7.200000,3.260000,Dave361,6.970000,4.950000,Jerry959,-3.700068,(Dave361,1555460323.592819),1555460323.595299
5.310000,4.950000,Mark704,5.310000,6.580000,Tim451,-4.064508,(Mark704,1555460323.641673),1555460323.642863
7.340000,1.600000,Kevin357,8.440000,0.810000,Bob29,-5.585237,(Kevin357,1555460323.649741),1555460323.650896
5.310000,4.950000,Mark704,5.310000,6.580000,Tim451,-4.064508,(Mark704,1555460323.939793),1555460323.940990
6.970000,4.950000,Jerry959,6.970000,6.630000,Carl458,-3.821086,(Jerry959,1555460324.618390),1555460324.619834
5.310000,6.580000,Tim451,6.970000,6.630000,Carl458,-3.913702,(Tim451,1555460324.618813),1555460324.620447
6.970000,6.630000,Carl458,8.290000,7.580000,Phil955,-4.082815,(Carl458,1555460324.638146),1555460324.642387
5.310000,6.580000,Tim451,5.310000,4.950000,Mark704,-4.064508,(Tim451,1555460324.948028),1555460324.949265
5.310000,6.580000,Tim451,5.310000,4.950000,Mark704,-4.064508,(Tim451,1555460325.625597),1555460325.627684
6.970000,4.950000,Jerry959,5.310000,4.950000,Mark704,-3.917352,(Jerry959,1555460325.626069),1555460325.628625
8.290000,7.580000,Phil955,6.970000,6.630000,Carl458,-4.082815,(Phil955,1555460325.956385),1555460325.957768
8.520000,2.410000,Stuart753,7.340000,1.600000,Kevin357,-5.128356,(Stuart753,1555460326.614465),1555460326.615835
7.200000,3.260000,Dave361,7.340000,1.600000,Kevin357,-3.888836,(Dave361,1555460326.614639),1555460326.616544
8.440000,0.810000,Bob29,7.340000,1.600000,Kevin357,-5.585237,(Bob29,1555460326.614026),1555460326.617184
6.970000,4.950000,Jerry959,6.970000,6.630000,Carl458,-3.821086,(Jerry959,1555460326.637437),1555460326.638759
6.970000,6.630000,Carl458,5.310000,6.580000,Tim451,-3.913702,(Carl458,1555460326.666518),1555460326.668929
5.310000,4.950000,Mark704,5.310000,6.580000,Tim451,-4.064508,(Mark704,1555460326.666947),1555460326.669607
6.970000,6.630000,Carl458,6.970000,4.950000,Jerry959,-3.821086,(Carl458,1555460327.673484),1555460327.692810
6.970000,6.630000,Carl458,8.290000,7.580000,Phil955,-4.082815,(Carl458,1555460327.673484),1555460327.693759
5.310000,4.950000,Mark704,6.970000,4.950000,Jerry959,-3.917352,(Mark704,1555460327.690264),1555460327.696102
6.970000,4.950000,Jerry959,7.200000,3.260000,Dave361,-3.700068,(Jerry959,1555460328.640584),1555460328.644385
7.200000,3.260000,Dave361,8.520000,2.410000,Stuart753,-4.369018,(Dave361,1555460328.644213),1555460328.646145
7.340000,1.600000,Kevin357,8.440000,0.810000,Bob29,-5.585237,(Kevin357,1555460328.698197),1555460328.700383
7.340000,1.600000,Kevin357,8.520000,2.410000,Stuart753,-5.128356,(Kevin357,1555460328.698197),1555460328.700568
6.970000,6.630000,Carl458,8.290000,7.580000,Phil955,-4.082815,(Carl458,1555460329.714951),1555460329.716639
6.970000,4.950000,Jerry959,6.970000,6.630000,Carl458,-3.821086,(Jerry959,1555460331.661877),1555460331.664550
8.520000,2.410000,Stuart753,8.440000,0.810000,Bob29,-4.204902,(Stuart753,1555460331.663431),1555460331.665376
7.340000,1.600000,Kevin357,8.440000,0.810000,Bob29,-5.585237,(Kevin357,1555460331.727791),1555460331.730810
6.970000,6.630000,Carl458,5.310000,6.580000,Tim451,-3.913702,(Carl458,1555460331.730141),1555460331.731639
6.970000,6.630000,Carl458,8.290000,7.580000,Phil955,-4.082815,(Carl458,1555460331.730141),1555460331.731786
6.970000,4.950000,Jerry959,5.310000,4.950000,Mark704,-3.917352,(Jerry959,1555460332.670487),1555460332.674152
5.310000,6.580000,Tim451,5.310000,4.950000,Mark704,-4.064508,(Tim451,1555460332.670315),1555460332.675573
7.200000,3.260000,Dave361,6.970000,4.950000,Jerry959,-3.700068,(Dave361,1555460333.702342),1555460333.703705
5.310000,4.950000,Mark704,6.970000,4.950000,Jerry959,-3.917352,(Mark704,1555460333.737203),1555460333.738916
8.440000,0.810000,Bob29,8.520000,2.410000,Stuart753,-4.204902,(Bob29,1555460334.709769),1555460334.718326
6.970000,4.950000,Jerry959,7.200000,3.260000,Dave361,-3.700068,(Jerry959,1555460334.715819),1555460334.720377
6.970000,4.950000,Jerry959,6.970000,6.630000,Carl458,-3.821086,(Jerry959,1555460334.715819),1555460334.720628
8.520000,2.410000,Stuart753,7.200000,3.260000,Dave361,-4.369018,(Stuart753,1555460334.719760),1555460334.725778
6.970000,6.630000,Carl458,5.310000,6.580000,Tim451,-3.913702,(Carl458,1555460334.745819),1555460334.748366
6.970000,6.630000,Carl458,8.290000,7.580000,Phil955,-4.082815,(Carl458,1555460334.745819),1555460334.748616
5.310000,4.950000,Mark704,5.310000,6.580000,Tim451,-4.064508,(Mark704,1555460334.746447),1555460334.749678
6.970000,4.950000,Jerry959,7.200000,3.260000,Dave361,-3.700068,(Jerry959,1555460335.719903),1555460335.736295
8.440000,0.810000,Bob29,7.340000,1.600000,Kevin357,-5.585237,(Bob29,1555460335.717790),1555460335.737678
8.520000,2.410000,Stuart753,7.340000,1.600000,Kevin357,-5.128356,(Stuart753,1555460335.728913),1555460335.738388
7.200000,3.260000,Dave361,7.340000,1.600000,Kevin357,-3.888836,(Dave361,1555460335.734531),1555460335.739922
8.520000,2.410000,Stuart753,8.440000,0.810000,Bob29,-4.204902,(Stuart753,1555460336.737292),1555460336.751080
7.340000,1.600000,Kevin357,8.440000,0.810000,Bob29,-5.585237,(Kevin357,1555460336.763101),1555460336.768222
5.310000,6.580000,Tim451,6.970000,6.630000,Carl458,-3.913702,(Tim451,1555460337.705736),1555460337.707033
5.310000,6.580000,Tim451,5.310000,4.950000,Mark704,-4.064508,(Tim451,1555460337.705736),1555460337.707183
7.200000,3.260000,Dave361,8.520000,2.410000,Stuart753,-4.369018,(Dave361,1555460337.752864),1555460337.755324
7.200000,3.260000,Dave361,6.970000,4.950000,Jerry959,-3.700068,(Dave361,1555460337.752864),1555460337.756457
8.440000,0.810000,Bob29,8.520000,2.410000,Stuart753,-4.204902,(Bob29,1555460337.752444),1555460337.757808
6.970000,4.950000,Jerry959,6.970000,6.630000,Carl458,-3.821086,(Jerry959,1555460337.755895),1555460337.758825
6.970000,4.950000,Jerry959,5.310000,4.950000,Mark704,-3.917352,(Jerry959,1555460337.755895),1555460337.759037
7.340000,1.600000,Kevin357,8.520000,2.410000,Stuart753,-5.128356,(Kevin357,1555460337.778446),1555460337.780762
6.970000,6.630000,Carl458,8.290000,7.580000,Phil955,-4.082815,(Carl458,1555460337.779543),1555460337.781590
8.440000,0.810000,Bob29,8.520000,2.410000,Stuart753,-4.204902,(Bob29,1555460338.759997),1555460338.763948
7.200000,3.260000,Dave361,6.970000,4.950000,Jerry959,-3.700068,(Dave361,1555460338.761082),1555460338.766308
5.310000,4.950000,Mark704,5.310000,6.580000,Tim451,-4.064508,(Mark704,1555460339.785131),1555460339.786243
6.970000,6.630000,Carl458,5.310000,6.580000,Tim451,-3.913702,(Carl458,1555460339.792895),1555460339.794288
6.970000,6.630000,Carl458,8.290000,7.580000,Phil955,-4.082815,(Carl458,1555460339.792895),1555460339.794439
8.520000,2.410000,Stuart753,8.440000,0.810000,Bob29,-4.204902,(Stuart753,1555460341.792678),1555460341.814131
8.520000,2.410000,Stuart753,7.340000,1.600000,Kevin357,-5.128356,(Stuart753,1555460341.792678),1555460341.814661
6.970000,4.950000,Jerry959,5.310000,4.950000,Mark704,-3.917352,(Jerry959,1555460341.810465),1555460341.815540
6.970000,6.630000,Carl458,8.290000,7.580000,Phil955,-4.082815,(Carl458,1555460341.811078),1555460341.816217
7.340000,1.600000,Kevin357,8.440000,0.810000,Bob29,-5.585237,(Kevin357,1555460341.813809),1555460341.816913
5.310000,6.580000,Tim451,5.310000,4.950000,Mark704,-4.064508,(Tim451,1555460342.744326),1555460342.745911
6.970000,6.630000,Carl458,6.970000,4.950000,Jerry959,-3.821086,(Carl458,1555460342.812607),1555460342.814514
6.970000,4.950000,Jerry959,6.970000,6.630000,Carl458,-3.821086,(Jerry959,1555460343.822260),1555460343.823800
8.520000,2.410000,Stuart753,7.200000,3.260000,Dave361,-4.369018,(Stuart753,1555460344.822047),1555460344.826387
6.970000,4.950000,Jerry959,7.200000,3.260000,Dave361,-3.700068,(Jerry959,1555460344.825582),1555460344.827189
6.970000,6.630000,Carl458,5.310000,6.580000,Tim451,-3.913702,(Carl458,1555460344.823020),1555460344.827971
6.970000,6.630000,Carl458,8.290000,7.580000,Phil955,-4.082815,(Carl458,1555460344.823020),1555460344.828211
5.310000,4.950000,Mark704,5.310000,6.580000,Tim451,-4.064508,(Mark704,1555460344.825855),1555460344.828917
7.340000,1.600000,Kevin357,7.200000,3.260000,Dave361,-3.888836,(Kevin357,1555460344.826094),1555460344.829963
