Criteria,C-130,C-17
cds_night_mod_m,46,46
cds_min_alt_f,600,600
cds_alt_change_f,100,100
cds_alt_mod_m,18,18
cds_pi_day_m,183,206
cds_pi_night_m,229,251
cds_width_m,366,412
cds_qty_1,1,1
cds_len_1_m,366,540
cds_qty_2,2,2
cds_len_2_m,412,562
cds_qty_3,3,3
cds_len_3_m,457,608
cds_qty_4,4,8
cds_len_4_m,503,700
cds_qty_5,8,14
cds_len_5_m,640,837
cds_qty_6,12,20
cds_len_6_m,777,974
,,
jpads_alt_0_f,0,0
jpads_len_0_m,300,300
jpads_alt_1_f,9000,9000
jpads_len_1_m,500,500
jpads_alt_2_f,15000,15000
jpads_len_2_m,700,700
jpads_alt_3_f,25000,25000
jpads_len_3_m,unknown,unknown
,,
per_width_m,549,549
per_length_m,549,549
per_qty_mod_m,69,69
per_night_mod_m,46,46
per_alt_min_f,1000,1000
per_alt_change_f,100,100
per_alt_mod_m,28,28
per_pi_day_m,274,274
per_pi_night_m,320,320
,,
he_width_m,549,549
he_length_m,915,915
he_qty_mod_m,366,457
he_night_mod_m,46,46
he_alt_min_f,1100,1100
he_alt_change_f,100,100
he_alt_mod_m,28,28
he_pi_day_m,457,457
he_pi_night_m,503,503
,,
mff_width_m,549,549
mff_length_m,549,549
mff_qty_mod_m,69,69
mff_night_mod_m,46,46
mff_alt_min_f,1000,1000
mff_alt_change_f,100,100
mff_alt_mod_m,28,28
,,
satb_width_m,300,300
satb_length_m,300,300
satb_qty_mod_m,69,69
satb_night_mod_m,46,46
satb_alt_min_f,600,600
satb_alt_change_f,100,100
satb_alt_mod_m,18,18
,,
crrc_width_m,300,300
crrc_length_m,300,300
crrc_qty_mod_m,69,69
crrc_night_mod_m,46,46
crrc_alt_min_f,600,600
crrc_alt_change_f,100,100
crrc_alt_mod_m,18,18
,,
hsllads_width_m,274,274
hsllads_length_m,549,549
hsllads_qty_mod_m,69,69
hsllads_night_mod_m,46,46
hsllads_alt_min_f,600,600
hsllads_alt_change_f,100,100
hsllads_alt_mod_m,18,18
,,
hvcds_width_m,530,530
hvcds_length_m,604,604
hvcds_qty_mod_m,46,46
hvcds_night_mod_m,46,46
hvcds_alt_min_f,3000,3000
hvcds_alt_change_f,1000,1000
hvcds_alt_mod_m,91,91
version,1,1
